SubAgency,Description,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,Commercial Vehicle,Alcohol,Work Zone,Search Conducted,State,VehicleType,Year,Make,Model,Color,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Speeding,Violation Type
"4th District, Wheaton",DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,39.05649,-77.081868,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2016.0,TOYOTA,TK,GRAY,Transportation Article,False,ASIAN,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"1st District, Rockville",FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,39.046395,-77.197743,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004.0,HYUNDAI,ELANTRA,SILVER,Transportation Article,False,ASIAN,M,POTOMAC,MD,MD,A - Marked Patrol,No,Citation
"5th District, Germantown",FAILURE TO STOP AT STOP SIGN,0.0,0.0,No,No,No,No,No,No,No,No,No,No,FL,02 - Automobile,2010.0,DODGE,CHARGER,RED,Transportation Article,False,BLACK,M,GAITHERSBURG,MD,MD,B - Unmarked Patrol,No,Citation
"4th District, Wheaton",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,39.124118,-77.07307,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011.0,TOYT,PRIUS,WHITE,Transportation Article,False,ASIAN,F,POTOMAC,MD,MD,A - Marked Patrol,No,Warning
"2nd District, Bethesda",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.013587,-77.106315,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011.0,TOYOTA,COROLLA,SILVER,Transportation Article,False,OTHER,M,BETHESDA,MD,MD,B - Unmarked Patrol,No,Citation
"5th District, Germantown",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,39.275714,-77.137731,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011.0,TOYOTA,COROLLA,GRAY,Transportation Article,False,WHITE,F,GERMANTOWN,MD,MD,Q - Marked Laser,No,Warning
"2nd District, Bethesda",DRIVER FAILURE TO STOP AT STOP SIGN LINE,39.03045,-77.084718,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,BMW,328I,BLACK,Transportation Article,False,HISPANIC,M,GAITHERSBURG,MD,MD,B - Unmarked Patrol,No,Warning
"4th District, Wheaton",FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,39.151437,-77.067498,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2016.0,TOYOTA,PRIUS,WHITE,Transportation Article,False,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"6th District, Gaithersburg / Montgomery Village","DRIVING, MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION",39.163142,-77.202703,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,TOYT,COROLLA,RED,Transportation Article,False,WHITE,F,GAITHERSBURG,MD,MD,A - Marked Patrol,No,Citation
"4th District, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,39.149047,-77.14753,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,CHRYSLER,200,GRAY,Transportation Article,False,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"4th District, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.041243,-77.04771,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,HONDA,CRV,"BLUE, LIGHT",Transportation Article,False,ASIAN,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton",EXCEEDING MAXIMUM SPEED: 49 MPH IN A POSTED 40 MPH ZONE,39.073836,-77.00706,No,No,No,No,No,No,No,No,No,No,MI,05 - Light Duty Truck,2005.0,JEEP,SUV,BLACK,Transportation Article,False,BLACK,M,SILVER SPRING,MD,MI,Q - Marked Laser,Measured,Citation
"6th District, Gaithersburg / Montgomery Village",FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,39.026695,-77.103463,No,No,No,No,No,Yes,No,No,No,No,MD,02 - Automobile,2005.0,SUBR,LECGACY,RED,Transportation Article,False,BLACK,M,UPPER MARLBORO,MD,MD,A - Marked Patrol,No,Warning
"1st District, Rockville",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 63 MPH IN A POSTED 35 MPH ZONE,39.128087,-77.160972,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,TOYT,4S,BLACK,Transportation Article,False,OTHER,M,GERMANTOWN,MD,MD,Q - Marked Laser,Measured,Citation
"1st District, Rockville",DRIVER READING AN ELECTRONIC MSG. WHILE OPER. VEH. IN TRAVEL PORTION OF HWY,39.068188,-77.129812,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,SUBARU,FORESTER,"GREEN, LGT",Transportation Article,False,WHITE,F,ROCKVILLE,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,0.0,0.0,Yes,No,No,No,No,No,No,No,No,No,DC,02 - Automobile,2001.0,HONDA,CIVIC,GOLD,Transportation Article,True,WHITE,M,WASHINGTON,DC,DC,A - Marked Patrol,No,Citation
"3rd District, Silver Spring",STOP LIGHTS (*),39.003798,-76.996602,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005.0,NISS,4S ALTIMA,BLACK,Transportation Article,False,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Repair Order
"4th District, Wheaton",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.05848,-77.048132,Yes,No,Yes,No,No,No,No,No,No,No,MD,02 - Automobile,2011.0,SUZUKI,KIZASKI,BLUE,Transportation Article,True,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"4th District, Wheaton",DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,39.061078,-77.05073,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2017.0,TOYOTA,CAMRY,BLACK,Transportation Article,False,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",38.999618,-76.991012,No,Yes,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011.0,NISSAN,SENTRA,BLACK,Transportation Article,False,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
Headquarters and Special Operations,ATTEMPT BY DRIVER TO ELUDE POLICE IN OFFICIAL POLICE VEH. BY FLEEING ON FOOT,39.063992,-77.037593,No,No,No,No,No,No,No,No,No,No,DC,02 - Automobile,2016.0,FORD,ESCAPE,WHITE,Transportation Article,False,BLACK,M,WASHINGTON,DC,DC,R - Unmarked Laser,No,Citation
"5th District, Germantown",DRIVING VEH. WHILE IMPAIRED BY ALCOHOL,39.082322,-77.150906,No,No,No,No,No,No,No,Yes,No,No,MD,02 - Automobile,2009.0,HONDA,CIVIC,BLACK,Transportation Article,False,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Citation
"1st District, Rockville",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.11449,-77.164412,No,No,No,No,No,No,No,No,No,No,MD,06 - Heavy Duty Truck,2020.0,FORD,F-150,WHITE,Transportation Article,False,HISPANIC,M,WASHINGTON,DC,DC,A - Marked Patrol,No,Warning
"1st District, Rockville",DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,39.069438,-77.105623,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2009.0,TOYOTA,CAMRY,SILVER,Transportation Article,False,ASIAN,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Warning
"6th District, Gaithersburg / Montgomery Village",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.14449,-77.225253,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2017.0,DODGE,DURANGO,BLACK,Transportation Article,False,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",OWNER FAILURE TO MAINTAIN REQUIRED SECURITY FOR VEH. DURING REG. PERIOD,38.999742,-76.995475,No,No,No,No,No,Yes,No,No,No,No,MD,02 - Automobile,2009.0,HONDA,ACCORD,SILVER,Transportation Article,False,OTHER,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"3rd District, Silver Spring",FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,38.993172,-76.992333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2016.0,HONDA,ACCORD,WHITE,Transportation Article,False,BLACK,M,SILVER SPRING,MD,DC,A - Marked Patrol,No,Warning
"4th District, Wheaton",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,39.060497,-77.045833,No,No,No,No,No,Yes,No,No,No,No,VA,01 - Motorcycle,2008.0,SUZUKI,GSX-600,YELLOW,Transportation Article,False,WHITE,M,WASHINGTON,DC,XX,A - Marked Patrol,No,Citation
"6th District, Gaithersburg / Montgomery Village",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 64 MPH IN A POSTED 35 MPH ZONE,39.083665,-77.07753,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,NISS,4S ALTIMA,BLACK,Transportation Article,False,BLACK,M,SILVER SPRING,MD,MD,Q - Marked Laser,Measured,Citation
"3rd District, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,38.995342,-77.029075,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,TOYOTA,HIGHLANDER,BLACK,Transportation Article,False,WHITE,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"1st District, Rockville",DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,39.082987,-77.15154,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2007.0,MERZ,4S,BLACK,Transportation Article,False,BLACK,M,GERMANTOWN,MD,MD,A - Marked Patrol,No,Warning
"1st District, Rockville",STOP LIGHTS (*),39.062561,-77.124867,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,HONDA,CIVIC,BROWN,Transportation Article,False,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Repair Order
"4th District, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,0.0,0.0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2000.0,BMW,300,SILVER,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"3rd District, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.0016,-77.038478,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,AUDI,A4,GRAY,Transportation Article,False,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton",FAILURE OF MV OPER. DRIVING ON HWY TO  BE IN POSS.OF EVID. OF REQD SECURITY FOR MV,39.052855,-77.05143,No,No,No,Yes,No,No,No,No,No,No,VA,02 - Automobile,2006.0,FORD,EXPLORER,BLACK,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"3rd District, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.055487,-76.961338,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008.0,HOND,SW,MAROON,Transportation Article,False,WHITE,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,38.99979,-77.013968,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2016.0,TOYOTA,COROLLA,SILVER,Transportation Article,False,OTHER,M,ADELPHI,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton",OPER. MOTOR VEH. WITH OPERATOR NOT RESTRAINED BY SEAT BELT,39.048288,-77.056363,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,CHEV,MALIBU,BLACK,Transportation Article,False,BLACK,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"6th District, Gaithersburg / Montgomery Village",DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,39.116385,-77.205232,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,SUBARU,IMPREZA,BLUE,Transportation Article,False,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Citation
"3rd District, Silver Spring",DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,39.045528,-76.991033,No,No,No,No,No,No,No,Yes,No,No,MD,02 - Automobile,1994.0,HOND,ACCORD,BLACK,Transportation Article,False,HISPANIC,M,DAMASCUS,MD,MD,A - Marked Patrol,No,Citation
"4th District, Wheaton",PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17-106,39.058463,-77.048058,Yes,No,No,Yes,No,No,No,No,No,No,MD,02 - Automobile,2000.0,TOYOTA,COROLLA,GREEN,Transportation Article,True,HISPANIC,M,SILVER SPRING,MD,XX,A - Marked Patrol,No,Citation
"4th District, Wheaton",DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,39.148698,-77.019438,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,NISS,4S,"GREEN, LGT",Transportation Article,False,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Warning
"2nd District, Bethesda",OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,38.998737,-77.00282,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,HOND,4S,WHITE,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton",KNOWINGLY DRIVING UNINSURED VEHICLE,39.093647,-77.07743,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011.0,BMW,528I,SILVER,Transportation Article,False,BLACK,M,PLANTATION,FL,FL,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",DRIVER FAIL TO MAKE REQUIRED STOP AT STOP SIGN,0.0,0.0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,TOYT,4S,GRAY,Transportation Article,False,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
Headquarters and Special Operations,PARKING WHERE PROHIBITED BY OFFICIAL SIGNS,38.997778,-77.030215,No,No,No,No,No,No,No,No,No,No,DC,02 - Automobile,2011.0,HONDA,ELEMENT,GRAY,Transportation Article,False,WHITE,M,WASHINGTON,DC,DC,A - Marked Patrol,No,Warning
"6th District, Gaithersburg / Montgomery Village",DRIVER FAILURE TO STOP AT STOP SIGN LINE,39.147428,-77.198789,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2007.0,NISSAN,SENTRA,BLACK,Transportation Article,False,BLACK,F,TEMPLE HILLS,MD,MD,A - Marked Patrol,No,Citation
"1st District, Rockville",EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH,39.126805,-77.131842,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012.0,TOYT,PRIUS,SILVER,Transportation Article,False,WHITE,F,GAITHERSBURG,MD,MD,Q - Marked Laser,Yes,Warning
"2nd District, Bethesda",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,39.019592,-77.212982,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2018.0,JEEP,TK,WHITE,Transportation Article,False,OTHER,F,POTOMAC,MD,MD,A - Marked Patrol,No,Citation
"1st District, Rockville",DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALKNOT CONTRIBUTING TO ACCIDENT,39.061149,-77.091277,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1997.0,PLYMOUTH,VOYAGER,"GREEN, DK",Transportation Article,False,HISPANIC,F,FREDERICK,MD,MD,A - Marked Patrol,No,Citation
"6th District, Gaithersburg / Montgomery Village",FAILURE OF DR. TO SLOW TO REASONABLE & PRUDENT SPEED WHILE PASSING STOPPED EMERG. VEH,39.133615,-77.18996,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011.0,TOYOTA,4RUNNER,WHITE,Transportation Article,False,WHITE,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,Yes,Warning
"3rd District, Silver Spring",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,38.990424,-77.022956,No,No,No,No,No,No,No,No,No,Yes,MD,02 - Automobile,2002.0,NISSAN,ALTIMA,MAROON,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"1st District, Rockville",FAIL TO MAINT. LEG REG PLATE FROM COVERS SECONDARY FOR FRAME,39.124228,-77.163717,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2019.0,HONDA,PILOT,WHITE,Transportation Article,False,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"5th District, Germantown",DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,39.202473,-77.24617,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008.0,FORD,VN,WHITE,Transportation Article,False,WHITE,M,HALETHORPE,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",FAILURE TO ATTACH VEH. REG. PLATES AT FRONT AND REAR,39.031705,-77.004143,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1996.0,ACUR,INTEGRA,WHITE,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Citation
"4th District, Wheaton",PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,39.099408,-77.077438,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2007.0,HONDA,CIVIC,BLACK,Transportation Article,False,WHITE,M,OLNEY,MD,MD,A - Marked Patrol,No,Citation
"2nd District, Bethesda",OPERATOR NOT RESTRAINED BY SEATBELT,39.007084,-77.076362,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1995.0,HONDA,ACCORD,BLACK,Transportation Article,False,BLACK,M,LAUREL,MD,MD,A - Marked Patrol,No,Citation
"2nd District, Bethesda",EXCEEDING POSTED MAXIMUM SPEED LIMIT: 50 MPH IN A POSTED 35 MPH ZONE,38.993243,-77.196535,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2016.0,BMW,4D,BLACK,Transportation Article,False,WHITE,M,POTOMAC,MD,IT,Q - Marked Laser,Measured,Citation
"4th District, Wheaton",DRIVER FAILURE TO STOP AT STOP SIGN LINE,39.060278,-77.078393,No,No,No,No,No,No,No,No,No,Yes,OH,02 - Automobile,1997.0,HONDA,CIVIC,RED,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"1st District, Rockville",FAILURE OF DR. TO MAKE LANE CHANGE TO AVAIL. LANE NOT IMMED. ADJ. TO STOPPED EMERG. VEH,39.066487,-77.10044,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008.0,DODGE,CARAVAN,SILVER,Transportation Article,False,WHITE,M,KENSINGTON,MD,MD,A - Marked Patrol,No,Warning
Headquarters and Special Operations,DRIVER FAILURE TO USE SIGNAL LAMP BEFORE TURN,39.048127,-77.068627,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001.0,CHEVY,BLAZER,RED,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"4th District, Wheaton",FAILURE TO DISPLAY TAB ON PLATES OF VEH. AS REQUIRED BY ADM.,39.0384,-77.058232,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010.0,TOYOTA,YARIS,BLUE,Transportation Article,False,WHITE,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Warning
"1st District, Rockville",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.054112,-77.13334,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,TOYOTA,4S,SILVER,Transportation Article,False,OTHER,F,ROCKVILLE,MD,MD,O - Foot Patrol,No,Warning
"4th District, Wheaton","MOTOR VEH. EQUIPPED WITH UNLAWFULLY MODIFIED EXHAUST SYSTEM, NOISE ABATEMENT DEVICE",39.064957,-77.058108,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1994.0,TOYOTA,4DOOR,BLACK,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND,38.989263,-77.027476,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004.0,CHRYS,CROSSFIRE,SILVER,Transportation Article,False,BLACK,F,LANHAM,MD,MD,A - Marked Patrol,No,Citation
"1st District, Rockville",DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,39.16779,-77.204998,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002.0,BUICK,4DR,GREEN,Transportation Article,False,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,No,Citation
"1st District, Rockville",TAILLIGHTS (*),39.081818,-77.146142,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,CHEVY,ASTRO,WHITE,Transportation Article,False,HISPANIC,F,HYATTSVILLE,MD,MD,A - Marked Patrol,No,Repair Order
"2nd District, Bethesda",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,39.039678,-77.109137,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,MERCEDES,E350,WHITE,Transportation Article,False,WHITE,M,POTOMAC,MD,MD,A - Marked Patrol,No,Warning
Headquarters and Special Operations,DRIVING A MOTOR VEH WITHOUT A VALID MEDICAL EXAMINERS CERTIFICATE IN POSSESSION,39.115923,-77.0757,No,No,No,No,No,No,No,No,No,No,VA,06 - Heavy Duty Truck,2017.0,ISUZU,TK,WHITE,Maryland Rules,False,OTHER,M,STERLING,VA,VA,B - Unmarked Patrol,No,Warning
"1st District, Rockville",DRIVER FAILURE TO STOP AT STOP SIGN LINE,39.07998,-77.152448,No,No,No,No,No,No,No,No,No,No,SC,02 - Automobile,2008.0,CADILAC,DHS,BLACK,Transportation Article,False,OTHER,M,COLUMBIA,SC,SC,B - Unmarked Patrol,No,Citation
"4th District, Wheaton",FAILURE TO EQUIP VEH. WITH REQUIRED REAR STOP LAMP,39.059015,-77.063917,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,SUBARU,IMPREZA,SILVER,Transportation Article,False,HISPANIC,M,ROCKVILLE,MD,MD,A - Marked Patrol,No,Warning
"5th District, Germantown",UNLAWFUL POSSESSION OF EXPIRED VEH. REG. PLATES,39.529534,-77.561464,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012.0,FORD,E350 VAN,WHITE,Transportation Article,False,OTHER,U,GERMANTOWN,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE,39.019388,-76.987792,No,Yes,No,No,No,No,No,No,No,No,MD,05 - Light Duty Truck,2002.0,FORD,E250,BLUE,Transportation Article,False,ASIAN,M,BELTSVILLE,MD,MD,A - Marked Patrol,No,Citation
"3rd District, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,39.041715,-76.994927,No,No,No,No,No,No,No,No,No,Yes,MD,02 - Automobile,2006.0,TOYT,SOLARA,SILVER,Transportation Article,False,WHITE,F,HYATTSVILLE,MD,MD,A - Marked Patrol,No,Warning
"6th District, Gaithersburg / Montgomery Village",DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,0.0,0.0,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2006.0,NISSAN,ALTIMA,GRAY,Transportation Article,False,WHITE,M,MONTGOMERY VILLAGE,MD,MD,A - Marked Patrol,No,Warning
"6th District, Gaithersburg / Montgomery Village","PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103",39.1572,-77.18707,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2010.0,HONDA,CROSTOUR,WHITE,Transportation Article,False,BLACK,F,GAITHERSBURG,MD,MD,A - Marked Patrol,No,Citation
"3rd District, Silver Spring",DRIVER READING A TEXT MSG. WHILE OPER. VEH. IN TRAVEL PORTION OF HWY,39.0101,-76.979473,No,No,No,No,No,No,No,No,No,No,TX,02 - Automobile,2004.0,GMC,ENVOY,WHITE,Transportation Article,False,HISPANIC,M,SILVER SPRING,MD,NY,A - Marked Patrol,No,Warning
"1st District, Rockville",DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY SPEED,39.118427,-77.258255,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013.0,BMW,TK,WHITE,Transportation Article,False,WHITE,F,NORTH POTOMAC,MD,MD,A - Marked Patrol,Yes,Warning
"6th District, Gaithersburg / Montgomery Village",EXCEEDING MAXIMUM SPEED: 39 MPH IN A POSTED 30 MPH ZONE,39.143049,-77.200621,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2005.0,MAZD,4S  3,GRAY,Transportation Article,False,WHITE,M,GAITHERSBURG,MD,MD,Q - Marked Laser,Measured,Citation
"2nd District, Bethesda",DRIVER FAILURE TO STOP AT STOP SIGN LINE,38.98621,-77.072067,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2016.0,HOND,TK,BLACK,Transportation Article,False,OTHER,M,SILVER SPRING,MD,MD,A - Marked Patrol,No,Warning
"3rd District, Silver Spring",DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,39.00178,-77.02616,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2015.0,TOYT,4S,BLACK,Transportation Article,False,OTHER,M,BURTONSVILLE,MD,MD,A - Marked Patrol,No,Warning
