SubAgency,Description,Latitude,Longitude,Accident,Belts,"Personal Injury","Property Damage",Fatal,"Commercial License","Commercial Vehicle",Alcohol,"Work Zone","Search Conducted",State,VehicleType,Year,Make,Model,Color,Article,"Contributed To Accident",Race,Gender,"Driver City","Driver State","DL State","Arrest Type","Violation Type"
"1st District, Rockville","DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 51",39.070185,-77.113557,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2006,MAZDA,4S,BLACK,"Transportation Article",False,WHITE,M,"CHEVY CHASE",MD,MD,"A - Marked Patrol",Warning
"3rd District, Silver Spring","FAILURE OF VEH. ON HWY. TO DISPLAY LIGHTED LAMPS, ILLUMINATING DEVICE IN UNFAVORABLE VISIBILITY COND",39.041485,-76.982307,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2016,TOYOTA,COROLLA,BLACK,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"1st District, Rockville","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.105002,-77.157038,No,No,No,No,No,Yes,No,No,No,No,MD,"02 - Automobile",2002,HOND,4S,SILVER,"Transportation Article",False,BLACK,M,GAITHERSBURG,MD,MD,"Q - Marked Laser",Warning
"Headquarters and Special Operations","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND",39.048463,-76.993048,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2012,ACUR,4S,SILVER,"Transportation Article",False,OTHER,F,"SILVER SPRING",MD,MD,"Q - Marked Laser",Warning
"Headquarters and Special Operations","FAILURE TO STOP WHEN ENTERING HIGHWAY",38.999227,-77.004068,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2002,HONDA,ACCORD,BLACK,"Transportation Article",False,HISPANIC,M,HYATTSVILLE,MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING",39.151306,-77.175506,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2004,MITS,4S,RED,"Transportation Article",False,WHITE,M,GAITHERSBURG,MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND",39.190855,-77.189817,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1994,BUICK,"LA SABER",RED,"Transportation Article",False,BLACK,M,GAITHERSBURG,MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","DRIVER FAILING TO GIVE TURN SIGNAL CONTINUOUSLY DURING LAST 100 OF TRAVEL BEFORE TURNING",39.040895,-77.056995,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2003,TOYT,SEQUOIA,BLACK,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY, LIFE AND PERSON",39.042236,-77.051857,No,No,No,No,No,No,No,No,No,No,VA,"01 - Motorcycle",2001,TOYT,"CAMRY LE",TAN,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,VA,"A - Marked Patrol",Warning
"3rd District, Silver Spring","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION",38.998678,-77.002333,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2010,TOYOTA,RAV4,GRAY,"Transportation Article",False,HISPANIC,F,"TAKOMA PARK",MD,MD,"A - Marked Patrol",Warning
"1st District, Rockville","DRIVER CHANGING LANES WHEN UNSAFE",39.066457,-77.163008,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2019,PORS,TK,BLACK,"Transportation Article",False,WHITE,M,ROCKVILLE,MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT",39.172967,-77.201442,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2009,HYUN,4S,BLUE,"Transportation Article",False,BLACK,M,GAITHERSBURG,MD,MD,"A - Marked Patrol",Warning
"Headquarters and Special Operations","FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS",39.169338,-77.235002,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2010,HOND,"ACCORD 4S",SILVER,"Transportation Article",False,HISPANIC,M,GERMANTOWN,MD,MD,"A - Marked Patrol",Warning
"3rd District, Silver Spring","DRIVING ON HWY. WITH OBJ/MATERIAL/OBSTRUCT HANGINGFROM REARVIEW MIRROR INTERFERING W/CLEAR VIEW",38.99709,-77.027117,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2004,TOYOTA,CAMRY,GRAY,"Transportation Article",False,BLACK,F,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","EXCEEDING THE POSTED SPEED LIMIT OF 50 MPH",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2008,AUDI,S4,BLACK,"Transportation Article",False,HISPANIC,M,GAITHERSBURG,MD,MD,"Q - Marked Laser",Warning
"3rd District, Silver Spring","DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION",38.990359,-77.029862,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1999,MITSUBISHI,ECLIPSE,RED,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.118307,-77.182841,No,No,No,No,No,Yes,No,No,No,No,MD,"05 - Light Duty Truck",1997,FORD,F150,BLUE,"Transportation Article",False,HISPANIC,M,GAITHERSBURG,MD,MD,"A - Marked Patrol",Warning
"3rd District, Silver Spring","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND",38.99921,-77.026088,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2000,SATURN,SW,GOLD,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY EXCESS OF 70 IN 45",38.963673,-77.135607,No,No,No,No,No,No,No,No,No,No,VA,"02 - Automobile",2012,JEEP,SUV,BLACK,"Transportation Article",False,WHITE,M,MCLEAN,VA,VA,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED",39.107688,-77.148367,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2001,HYUNDAI,TIBURON,SILVER,"Transportation Article",False,WHITE,M,GAITHERSBURG,MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.155365,-77.166907,No,No,No,No,No,No,No,No,No,No,GA,"02 - Automobile",2010,JEEP,WRANGLER,SILVER,"Transportation Article",False,BLACK,F,ATLANTA,GA,GA,"A - Marked Patrol",Warning
"1st District, Rockville","DRIVER FAIL TO STOP AT RED TRAFFIC SIGNAL BEFORE RIGHT TURN",39.102973,-77.221605,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,TOYT,4S/YARIS,RED,"Transportation Article",False,WHITE,F,"NORTH POTOMAC",MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION",39.151588,-77.201398,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2018,KIA,SORENTO,WHITE,"Transportation Article",False,BLACK,M,POOLESVILLE,MD,MD,"A - Marked Patrol",Warning
"3rd District, Silver Spring","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE",39.049203,-76.983082,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2010,HONDA,CRV,GREEN,"Transportation Article",False,BLACK,F,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"1st District, Rockville","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER",39.132556,-77.159445,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,SCION,TC,GRAY,"Transportation Article",False,HISPANIC,M,GAITHERSBURG,MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","EXCEEDING THE POSTED SPEED LIMIT OF 55 MPH",39.120558,-77.201794,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2004,ACURA,MDX,BLACK,"Transportation Article",False,WHITE,M,"ELLICOTT CITY",MD,MD,"Q - Marked Laser",Warning
"Headquarters and Special Operations","FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY POLICE VEH.",39.000045,-77.012628,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2009,NISSAN,"ALTIMA 4D",SILVER,"Transportation Article",False,BLACK,M,"UPPER MARLBORO",MD,MD,"A - Marked Patrol",Warning
"1st District, Rockville","DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE",39.085167,-77.21861,No,No,No,No,No,No,No,No,No,No,VA,"02 - Automobile",2003,FORD,ESCAPE,GRAY,"Transportation Article",False,BLACK,M,ALEXANDRIA,VA,VA,"A - Marked Patrol",Warning
"4th District, Wheaton","DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION",39.036908,-77.026158,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2006,HYUNDAI,ELENTRA,SILVER,"Transportation Article",False,WHITE,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"1st District, Rockville","DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS",39.087505,-77.2117,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2004,HONDA,ACCORD,BLACK,"Transportation Article",False,WHITE,M,ROCKVILLE,MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE",38.973464,-77.122752,No,Yes,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2008,TOYT,4H,SILVER,"Transportation Article",False,WHITE,M,GERMANTOWN,MD,MD,"O - Foot Patrol",Warning
"5th District, Germantown","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.198375,-77.262367,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2006,HONDA,SW,TAN,"Transportation Article",False,WHITE,F,GAITHERSBURG,MD,MD,"A - Marked Patrol",Warning
"5th District, Germantown","EXCEEDING THE POSTED SPEED LIMIT OF 35 MPH",39.173267,-77.283988,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2003,TOYT,TK,WHITE,"Transportation Article",False,HISPANIC,M,FREDERICK,MD,MD,"A - Marked Patrol",Warning
"3rd District, Silver Spring","DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION",39.111997,-76.928863,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2003,NISS,SENTRA,WHITE,"Transportation Article",False,BLACK,M,COLUMBIA,MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","DRIVING MOTOR VEH. ON HWY. WEARING EARPLUGS IN BOTH EARS",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2003,TOYTOTA,COROLLA,GRAY,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","DRIVER CHANGING LANES WHEN UNSAFE",38.981593,-77.112762,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2008,LEXUS,RX350,SILVER,"Transportation Article",False,WHITE,F,BETHESDA,MD,MD,"M - Marked (Off-Duty)",Warning
"4th District, Wheaton","EXCEEDING THE POSTED SPEED LIMIT OF 45 MPH",39.143028,-77.158453,No,No,No,No,No,Yes,No,No,No,No,MD,"02 - Automobile",2004,CHEVE,IMPALA,GOLD,"Transportation Article",False,BLACK,M,"MONTGOMERY VILLAGE",MD,MD,"A - Marked Patrol",Warning
"1st District, Rockville","RT. TURN FROM IMPROPER ROAD POSITION",39.084457,-77.13521,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2008,SCION,SW,PURPLE,"Transportation Article",False,WHITE,M,DERWOOD,MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH",39.14388,-77.002406,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2006,TOYT,SIENNA,GRAY,"Transportation Article",False,WHITE,M,"SANDY SPRING",MD,MD,"Q - Marked Laser",Warning
"Headquarters and Special Operations","DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION",39.091666,-77.07988,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2017,HOND,4S,BLACK,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","FAILING TO SECURE CHILD UNDER AGE 8 IN CHILD SAFETY SEAT WHEN TRANSPORTING IN MOTOR VEHICLE",39.127837,-77.195785,No,No,No,No,No,No,No,No,No,No,MD,"03 - Station Wagon",2016,TOYOTA,RAV4,WHITE,"Transportation Article",False,HISPANIC,F,GAITHERSBURG,MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS",39.153477,-77.213505,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2011,TOYT,4S,SILVER,"Transportation Article",False,WHITE,M,GERMANTOWN,MD,MD,"A - Marked Patrol",Warning
"1st District, Rockville","DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION",39.123474,-77.178511,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2018,HYUN,TK,TAN,"Transportation Article",False,BLACK,F,"CAPITOL HEIGHTS",MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",38.993428,-77.094868,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2001,GMC,TK,BEIGE,"Transportation Article",False,BLACK,M,GAITHERSBURG,MD,MD,"A - Marked Patrol",Warning
"1st District, Rockville","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION",39.130085,-77.160377,No,No,No,No,No,No,No,No,No,No,MD,"05 - Light Duty Truck",2018,CHEV,TK,BLACK,"Transportation Article",False,WHITE,F,GAITHERSBURG,MD,MD,"L - Motorcycle",Warning
"Headquarters and Special Operations","DRIVING OFF ROADWAY WHILE PASSING VEHICLE",39.228477,-77.236823,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2018,HONDA,PILOT,BLUE,"Transportation Article",False,BLACK,F,GERMANTOWN,MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","FAILURE OF DR. TO MAKE LANE CH. TO AVAIL. LANE NOT IMMED. ADJ TO STOPPED, STANDING, PARKED VEH.",39.035025,-77.124738,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2017,AUDI,TK,WHITE,"Transportation Article",False,WHITE,F,ROCKVILLE,MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 50+",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2003,NISSAN,MAXIMA,BLUE,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"L - Motorcycle",Warning
"6th District, Gaithersburg / Montgomery Village","EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH",39.135948,-77.22315,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2007,NISSAN,ALTIMA,SILVER,"Transportation Article",False,WHITE,M,GAITHERSBURG,MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.181538,-77.210831,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2020,TOY,RAV4,MAROON,"Transportation Article",False,HISPANIC,M,GERMANTOWN,MD,MD,"A - Marked Patrol",Warning
"5th District, Germantown","DRIVER CHANGING LANES WHEN UNSAFE",39.165413,-77.227938,No,No,No,No,No,No,No,No,No,Yes,MD,"02 - Automobile",2010,FORD,FOCUS,RED,"Transportation Article",False,HISPANIC,M,RIVERDALE,MD,MD,"A - Marked Patrol",Warning
"5th District, Germantown","FAILURE TO DISPLAY & REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ.",39.245086,-77.23444,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2021,JEEP,"GRAND CHEROKEE",SILVER,"Transportation Article",False,WHITE,M,"MONTGOMERY VILLAGE",MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION",39.140372,-77.202573,No,No,No,No,No,Yes,No,No,No,No,MD,"02 - Automobile",2010,HONDA,ACCORD,SILVER,"Transportation Article",False,BLACK,M,GERMANTOWN,MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","EXCEEDING THE POSTED SPEED LIMIT OF 50 MPH",39.07062,-77.063273,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2015,FORD,FUSION,SILVER,"Transportation Article",False,WHITE,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL",39.07999,-77.08207,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1999,TOYT,2S,SILVER,"Transportation Article",False,HISPANIC,M,"MONTGOMERY VILLAGE",MD,MD,"B - Unmarked Patrol",Warning
"4th District, Wheaton","DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE",39.136967,-77.032522,No,No,No,No,No,No,No,No,No,No,MD,"03 - Station Wagon",1997,HONDA,ODYSSEY,SILVER,"Transportation Article",False,BLACK,M,OLNEY,MD,MD,"A - Marked Patrol",Warning
"3rd District, Silver Spring","EXCEEDING THE POSTED SPEED LIMIT OF 40 MPH",39.041305,-76.996138,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2008,ACURA,TL,GRAY,"Transportation Article",False,BLACK,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","FAILURE OF DR. TO MAKE LANE CHANGE TO AVAIL. LANE NOT IMMED. ADJ. TO STOPPED EMERG. VEH",39.103625,-77.19143,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2000,FORD,4S,SILVER,"Transportation Article",False,WHITE,F,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","DRIVER CHANGING LANES WHEN UNSAFE",0,0,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1995,NISSAN,TK,RED,"Transportation Article",False,HISPANIC,M,HYATTSVILLE,MD,MD,"A - Marked Patrol",Warning
"3rd District, Silver Spring","DRIVER FAILURE TO STOP AT STOP SIGN LINE",38.997962,-76.994413,No,No,No,No,No,No,No,No,No,No,DC,"02 - Automobile",2012,HYUNDAI,"GENESIS COUPE",BLACK,"Transportation Article",False,HISPANIC,M,WASHINGTON,DC,DC,"A - Marked Patrol",Warning
"3rd District, Silver Spring","EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH",39.044837,-76.951973,No,No,No,No,No,No,No,No,No,Yes,MD,"02 - Automobile",2011,CHEV,4S,BLUE,"Transportation Article",False,OTHER,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","WILLFULLY DRIVING MOTOR VEH. AT SLOW SPEED IMPEDING NORMAL AND REASONABLE TRAFFIC MOVEMENT",39.118145,-77.020299,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1986,MAXIMA,MAXIMA,SILVER,"Transportation Article",False,BLACK,M,"NEW CARROLLTON",MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","DRIVER FAILURE TO STOP AT STOP SIGN LINE",39.009215,-77.061442,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2016,TOYOTA,4S,"BLUE, DARK","Transportation Article",False,ASIAN,F,WHEATON,MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING",39.108746,-77.212595,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1999,HONDA,ODYSSEY,GREEN,"Transportation Article",False,WHITE,M,"CABIN JOHN",MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","MOTOR VEH. EQUIPPED WITH UNLAWFULLY MODIFIED EXHAUST SYSTEM",39.029921,-77.021539,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",1986,BMW,2S,SILVER,"Transportation Article",False,WHITE,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"5th District, Germantown","DRIVER FAIL TO MAKE REQUIRED STOP AT SIGNAL",39.177517,-77.270473,No,No,No,No,No,No,No,No,No,No,NC,"02 - Automobile",2001,TOYOTA,4S,GOLD,"Transportation Article",False,WHITE,M,MOORESVILLE,NC,NC,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH",39.151638,-77.200797,No,No,No,No,No,No,No,No,No,No,FL,"02 - Automobile",2018,HONDA,CIVIC,BLUE,"Transportation Article",False,BLACK,M,GAITHERSBURG,MD,MD,"Q - Marked Laser",Warning
"2nd District, Bethesda","DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION",39.027762,-77.103932,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2008,CHEV,4S,GRAY,"Transportation Article",False,BLACK,F,"FORT WASHINGTON",MD,MD,"A - Marked Patrol",Warning
"5th District, Germantown","OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL",39.177437,-77.270435,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2001,MERZ,CLK320,SILVER,"Transportation Article",False,BLACK,M,GERMANTOWN,MD,MD,"A - Marked Patrol",Warning
"1st District, Rockville","STOPPING ON AUTHORITY HIGHWAY WHEN PROHIBITED",39.181342,-77.26185,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2016,SCION,TC,RED,"Transportation Article",False,WHITE,F,GERMANTOWN,MD,MD,"A - Marked Patrol",Warning
"3rd District, Silver Spring","DRIVER CHANGING LANES WHEN UNSAFE",39.003775,-76.996627,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2010,TOYOTA,COROLLA,GRAY,"Transportation Article",False,HISPANIC,M,ROCKVILLE,MD,MD,"A - Marked Patrol",Warning
"6th District, Gaithersburg / Montgomery Village","DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION",39.163675,-77.203233,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2006,CHEV,TK,WHITE,"Transportation Article",False,HISPANIC,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"1st District, Rockville","DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS",39.11503,-77.166898,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2010,NISS,VERSA,TAN,"Transportation Article",False,BLACK,F,ROCKVILLE,MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","DRIVING VEH. ON HWY. W/O REQUIRED MINIMUM EQUIPMENT",39.04123,-77.052667,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2002,LINC,4S,GOLD,"Transportation Article",False,BLACK,M,HANOVER,MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER",38.996868,-77.094565,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2009,ACURA,TL,GRAY,"Transportation Article",False,WHITE,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","DRIVING VEH. W/O ADEQUATE REAR REG. PLATE ILLUMINATION",39.013267,-77.098653,No,No,No,No,No,No,No,No,No,No,VA,"02 - Automobile",2015,NISSAN,VERSA,GRAY,"Transportation Article",False,WHITE,F,ROCKVILLE,MD,XX,"A - Marked Patrol",Warning
"4th District, Wheaton","EXCEEDING THE POSTED SPEED LIMIT OF 30 MPH",39.058512,-77.04821,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2013,SCION,2S,BLACK,"Transportation Article",False,HISPANIC,F,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","DRIVE ACROSS PRIVATE PROPERTY FOR THE PURPOSE OF AVOIDING TRAFFIC CONTROL DEVICE",39.066418,-77.033432,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2005,BMW,Z4,SILVER,"Transportation Article",False,WHITE,M,"SILVER SPRING",MD,MD,"A - Marked Patrol",Warning
"4th District, Wheaton","FAILURE OF INDIVIDUAL DRIVING ON HIGHWAY TO DISPLAY LICENSE TO UNIFORMED POLICE ON DEMAND",39.079375,-77.073312,No,No,No,No,No,No,No,No,No,Yes,MD,"02 - Automobile",2007,CHRYSLER,300,BLACK,"Transportation Article",False,BLACK,M,HAGERSTOWN,MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED",39.019773,-77.121792,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2015,HONDA,CRV,BLUE,"Transportation Article",False,OTHER,F,POTOMAC,MD,MD,"A - Marked Patrol",Warning
"2nd District, Bethesda","FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER",39.049512,-77.151567,No,No,No,No,No,No,No,No,No,No,MD,"02 - Automobile",2009,HOND,TK,"BLUE, DARK","Transportation Article",False,WHITE,M,HYATTSVILLE,MD,MD,"A - Marked Patrol",Warning
"Headquarters and Special Operations","DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE",39.15475,-77.214965,No,No,No,No,No,No,No,No,No,No,MD,"05 - Light Duty Truck",2016,TOYT,TACOMA,ORANGE,"Transportation Article",False,BLACK,M,GERMANTOWN,MD,MD,"G - Marked Moving Radar (Stationary)",Warning
